CODI_DIVISIO_TERRITORIAL;CDINE;NACIONALITAT;NRE_HOMES;NRE_DONES
S-01001;NULL;ALTRES;15;20
S-01001;108;ESPANYA;657;720
S-01001;321;HONDURES;4;7
S-01002;NULL;ALTRES;27;37
S-01002;115;ITALIA;6;3
S-01002;108;ESPANYA;511;637
S-01002;110;FRAN€A;5;6
S-01003;108;ESPANYA;428;492
S-01003;125;REGNE UNIT;4;4
S-01003;115;ITALIA;3;4
S-01003;NULL;ALTRES;15;19
S-01003;128;ROMANIA;3;5
S-01003;407;XINA;4;5
S-01004;NULL;ALTRES;14;14
S-01004;108;ESPANYA;382;406
S-01005;108;ESPANYA;628;757
S-01005;115;ITALIA;3;4
S-01005;NULL;ALTRES;25;39
S-01007;104;BULGARIA;3;3
S-01007;108;ESPANYA;531;616
S-01007;NULL;ALTRES;25;28
S-01008;108;ESPANYA;295;309
S-01008;NULL;ALTRES;12;13
S-02001;NULL;ALTRES;38;27
S-02001;108;ESPANYA;582;651
S-02001;407;XINA;3;3
S-02001;122;POLONIA;4;4
S-02001;228;MARROC;12;10
S-02001;216;GAMBIA;8;5
S-02002;108;ESPANYA;755;847
S-02002;115;ITALIA;6;3
S-02002;351;VENE€UELA;8;4
S-02002;407;XINA;6;5
S-02002;NULL;ALTRES;49;30
S-02003;108;ESPANYA;391;454
S-02003;343;COLOMBIA;4;3
S-02003;NULL;ALTRES;19;22
S-02004;NULL;ALTRES;17;34
S-02004;407;XINA;7;4
S-02004;108;ESPANYA;902;1.027
S-02004;115;ITALIA;7;5
S-02005;108;ESPANYA;564;587
S-02005;154;RUSSIA;5;4
S-02005;228;MARROC;22;18
S-02005;115;ITALIA;5;9
S-02005;NULL;ALTRES;46;41
S-02007;407;XINA;5;5
S-02007;347;PARAGUAI;4;5
S-02007;426;PAKISTAN;5;5
S-02007;410;INDIA;16;7
S-02007;128;ROMANIA;7;7
S-02007;345;EQUADOR;5;10
S-02007;NULL;ALTRES;35;44
S-02007;108;ESPANYA;495;517
