"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Lloguer_mitja","Preu"
2018,"1",1,"Ciutat Vella",1,"el Raval","Lloguer mitjà mensual (Euros/mes)",792.74
2018,"1",1,"Ciutat Vella",2,"el Barri Gòtic","Lloguer mitjà mensual (Euros/mes)",998.4
2018,"1",1,"Ciutat Vella",3,"la Barceloneta","Lloguer mitjà mensual (Euros/mes)",870.84
2018,"1",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Lloguer mitjà mensual (Euros/mes)",923.44
2018,"1",2,"Eixample",5,"el Fort Pienc","Lloguer mitjà mensual (Euros/mes)",910.53
2018,"1",2,"Eixample",6,"la Sagrada Família","Lloguer mitjà mensual (Euros/mes)",883.75
2018,"1",2,"Eixample",7,"la Dreta de l'Eixample","Lloguer mitjà mensual (Euros/mes)",1191.43
2018,"1",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Lloguer mitjà mensual (Euros/mes)",1069.16
2018,"1",2,"Eixample",9,"la Nova Esquerra de l'Eixample","Lloguer mitjà mensual (Euros/mes)",947.92
2018,"1",2,"Eixample",10,"Sant Antoni","Lloguer mitjà mensual (Euros/mes)",899.98
2018,"1",3,"Sants-Montjuïc",11,"el Poble Sec","Lloguer mitjà mensual (Euros/mes)",783.5
2018,"1",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Lloguer mitjà mensual (Euros/mes)",NA
2018,"1",3,"Sants-Montjuïc",13,"la Marina de Port","Lloguer mitjà mensual (Euros/mes)",751.65
2018,"1",3,"Sants-Montjuïc",14,"la Font de la Guatlla","Lloguer mitjà mensual (Euros/mes)",842.32
2018,"1",3,"Sants-Montjuïc",15,"Hostafrancs","Lloguer mitjà mensual (Euros/mes)",754.83
2018,"1",3,"Sants-Montjuïc",16,"la Bordeta","Lloguer mitjà mensual (Euros/mes)",785.79
2018,"1",3,"Sants-Montjuïc",17,"Sants - Badal","Lloguer mitjà mensual (Euros/mes)",764.41
2018,"1",3,"Sants-Montjuïc",18,"Sants","Lloguer mitjà mensual (Euros/mes)",802.64
2018,"1",4,"Les Corts",19,"les Corts","Lloguer mitjà mensual (Euros/mes)",1002.34
2018,"1",4,"Les Corts",20,"la Maternitat i Sant Ramon","Lloguer mitjà mensual (Euros/mes)",948.77
